lemma,word,pos
abbiegen,abbiegen,VERB
abgeben,abgeben,VERB
abholen,abholen,VERB
absagen,absagen,VERB
abschließen,abgeschlossen,VERB
anbieten,anbieten,VERB
anbieten,anzubieten,VERB
anbieten,angeboten,VERB
anfangen,anfing,VERB
ankommen,ankamst,VERB
ankommen,angekommen,VERB
anmelden,anmelden,VERB
anrufen,anrufen,VERB
ansehen,ansehen,VERB
ansetzen,angesetzt,VERB
anstoßen,anstoßen,VERB
anziehen,angezogen,VERB
arbeiten,arbeite,VERB
arbeiten,arbeiten,VERB
arbeiten,arbeitest,VERB
arbeiten,arbeitet,VERB
aufhören,aufhören,VERB
aufmachen,aufmachen,VERB
aufräumen,aufräumen,VERB
ausfüllen,ausfüllen,VERB
ausgeben,ausgeben,VERB
ausgehen,ausgegangen,VERB
ausmachen,ausmachen,VERB
aussteigen,aussteigen,VERB
austauschen,austauschen,VERB
austauschen,ausgetauscht,VERB
ausziehen,ausgezogen,VERB
backen,backe,VERB
basteln,gebastelt,VERB
beantworten,beantwortet,VERB
beantworten,beantworten,VERB
bedeuten,bedeutet,VERB
bedienen,bedienen,VERB
beeilen,beeilen,VERB
beenden,beenden,VERB
beginnen,beginnt,VERB
begleiten,begleiten,VERB
begründen,begründen,VERB
beheben,behoben,VERB
bekommen,bekomme,VERB
bekommen,bekamst,VERB
bekommen,bekommt,VERB
bekommen,bekommst,VERB
bekommen,bekommen,VERB
benutzen,benutzen,VERB
beobachten,beobachten,VERB
beobachten,beobachtet,VERB
berichten,berichten,VERB
beschweren,beschweren,VERB
beschweren,beschwert,VERB
beschäftigen,beschäftigt,VERB
besetzen,besetzt,VERB
besichtigen,besichtigen,VERB
bestehen,bestehen,VERB
bestehen,bestanden,VERB
bestehen,besteht,VERB
bestellen,bestellen,VERB
bestätigen,bestätigen,VERB
besuchen,besuchen,VERB
betreuen,betreuen,VERB
beweisen,beweisen,VERB
bewerben,bewerben,VERB
bezahlen,bezahlen,VERB
biegen,biegen,VERB
bieten,bietet,VERB
bieten,bieten,VERB
bitten,batet,VERB
bitten,bätet,VERB
bitten,batst,VERB
bitten,batest,VERB
bitten,bitten,VERB
bitten,bat,VERB
bitten,bäten,VERB
bitten,bittet,VERB
bitten,gebeten,VERB
bitten,baten,VERB
bitten,bittest,VERB
bitten,bätest,VERB
bitten,bitte,VERB
bitten,bäte,VERB
bleiben,geblieben,VERB
bleiben,bleibst,VERB
bleiben,bleibe,VERB
bleiben,bleiben,VERB
blicken,blicken,VERB
braten,brät,VERB
brauchen,brauchtest,VERB
brauchen,gebraucht,VERB
brauchen,brauche,VERB
brauchen,braucht,VERB
brauchen,brauchst,VERB
bringen,Bringen,VERB
bringen,bringen,VERB
bringen,bring,VERB
bringen,bringt,VERB
buchen,buchen,VERB
chatten,chattet,VERB
danken,danken,VERB
danken,danke,VERB
dauern,dauert,VERB
denken,denke,VERB
denken,dachte,VERB
drucken,drucken,VERB
drücken,drücken,VERB
drücken,Drücken,VERB
dürfen,Darf,AUX
dürfen,Dürfen,AUX
dürfen,dürfen,AUX
einkaufen,einkaufen,VERB
einladen,einladen,VERB
