term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,tag56,tag57,tag58,tag59,tag60,tag61,tag62,tag63,tag64,tag65,tag66,tag67,tag68,meaninglanguage1,meaning1,meaninglanguage2,meaning2
schließfächern,geh ich zu den Schließfächern.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Lockers,,
wegwerfen,"...den Beier einen Beutel wegwerfen sehen, in dem vielleicht...",verb,ich,futur,Substantiv,verb,futur,ich,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v.  discard, throw away",,
läßt,Aber Hans läßt nicht locker:,verb,präsens,du,ablaßen,ablassen,anlassen,auflassen,auslassen,durchlassen,einlassen,freilassen,heranlassen,herauflassen,herbeilassen,hereinlassen,herunterlassen,lassen,liegenlassen,loslassen,nachlassen,ranlassen,überlassen,unterlassen,vorbeilassen,vorlassen,weglassen,zulassen,zurücklassen,verb,präsens,lassen,du,überlassen,vorlassen,durchlassen,freilassen,ablaßen,einlassen,ranlassen,loslassen,vorbeilassen,auslassen,heranlassen,herauflassen,weglassen,auflassen,anlassen,zurücklassen,herbeilassen,hereinlassen,zulassen,herunterlassen,nachlassen,ablassen,liegenlassen,unterlassen,,,,,,,,,,,,,en,"v.  let, allow",,
zeitlang,...hat im Winter eine Zeitlang frei.,Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) period of time, a while",,
locker,Aber Hans läßt nicht locker:,Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"loosely, freely, permissively, unrestrictively, in a slack manner",,
weitersuchen,...noch auf eigene Faust weitersuchen“ sagt Georg.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,continue searching,,
landschaft,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versuch's wenigstens mal,Geh zur Polizei... Versuch's wenigstens mal!“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,at least try it,,
spare,"...Hause, lerne Französisch und spare Geld.",verb,ich,präsens,aussparen,einsparen,sparen,zusammensparen,verb,präsens,ich,einsparen,aussparen,sparen,zusammensparen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(ich) save,,
entscheidung,...und dann an Ihrer Entscheidung auch festhalten.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"decision, ruling, determination, verdict, conclusion",,
bisher,,Adjektiv,Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,so far,,
entspannen,...im All-Inclusiv-Hotel entspannen.,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"relax, be at leisure, slacken, unwind, rest",,
erneut,...mit der Pistole sagt erneut: „Schnauze!“,Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"again, once more",,
gelangweilt,...auch bei der Arbeit gelangweilt.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"bored, weary, disinterested",,
halt,"...Schließfach, Franz, Eingang, Telefon - halt, da steht jemand am...",verb,du,imperativ präsens,abhalten,anhalten,aufhalten,aushalten,durchhalten,einhalten,feilhalten,fernhalten,festhalten,halten,haushalten,heilighalten,hinhalten,innehalten,mithalten,standhalten,unterhalten,vorhalten,zurückhalten,zusammenhalten,Adverb,Substantiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"just, simply",,
jedoch,Das berühmteste Ausstellungsstück ist jedoch das Objekt mit der...,Adverb,Substantiv,adverb,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"however; though, anyway",,
daher,daher helfe ich Ihnen gerne,Adjektiv,Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,"тому, отже, таким чином, відповідно",,
ebenso,"...der leeren Scheune treten, ebenso plötzlich, wie Staubfinger hinter...",Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,likewise,,
hob,Ihr Vater hob den Kopf und blickte...,verb,ich,indikativ,präteritum,abheben,anheben,aufheben,ausheben,heben,hervorheben,hochheben,verb,indikativ,ich,heben,präteritum,aufheben,abheben,hervorheben,anheben,ausheben,hochheben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"raised, lifted",,
schenkte,Vor einigen Jahren schenkte sie Georg immer Schokolade.,verb,ich,indikativ,präteritum,ausschenken,einschenken,schenken,verb,indikativ,ich,schenken,präteritum,einschenken,ausschenken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"schenken: to give, to gift; to donate, to bestow; to give presents",,
erlaube,Das erlaube ich nicht.,verb,ich,präsens,erlauben,verb,präsens,ich,erlauben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,allow; permit,,
nachbarschaft,"...schönen Frauen aus der Nachbarschaft, auch mit Georgs Mutter.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,neighborhood(die),,
sprichwort,"Wenn man aber einem Sprichwort glaubt, dann hat die...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"saying, proverb (das)",,
tierhandlung,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neues,"Wenn es etwas Neues gibt, rufe ich dich...",Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,new,,
probiert,Zuerst probiert sie Kochen.,verb,präsens,er/sie/es,anprobieren,ausprobieren,probieren,Substantiv,verb,präsens,substantiv,er/sie/es,probieren,anprobieren,ausprobieren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"attempted, tried (probieren)",,
nachfolger,"...diesem Moment kommt Emmas Nachfolger, Oliver Hartmann, aus einem...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der)  n. successor, heir, inheritor,",,
einfache,,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bedeuten,...dachte: „Alle diese Dinge bedeuten Effi nicht viel.,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v. mean, indicate; signify",,
gestehen,"Er muss nur noch gestehen.""",verb,präsens,wir,eingestehen,Substantiv,verb,präsens,wir,substantiv,eingestehen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,зізнатися,,
gegenseitig,Sie helfen sich gegenseitig mit ihren Hausaufgaben.,Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handeln,"...a. D., und schnell handeln!",verb,präsens,wir,abhandeln,aushandeln,einhandeln,entgegenhandeln,herunterhandeln,unterhandeln,zuwiderhandeln,Substantiv,verb,präsens,wir,substantiv,zuwiderhandeln,herunterhandeln,unterhandeln,entgegenhandeln,einhandeln,aushandeln,abhandeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"act, perform; trade, deal",,
schülerin,...Tochter ist eine gute Schülerin,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,schoolgirl,,
naturwissenschaft,Lisa mag Mathematik und Naturwissenschaft.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,natural Science,,
genommen,einen Platz am Fenster genommen,Adjektiv,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(nehmen) (past part.) to take,,
geworden,und ist danach müde geworden,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"become, grown",,
gewöhnlich,Wie gewöhnlich bin ich gestern aus...,Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"habitual, usual",,
na sowas,"Na sowas“, denkt Georg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Think of that!,,
hausmeister,"...denken doch nicht, der Hausmeister...""",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"caretaker, janitor",uk,"наглядач за будинком, домоуправитель"
hinaufzusteigen,"...Wahl, außer die Treppen hinaufzusteigen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,to climb,,
verrieten,"Ihre braunen Augen verrieten, dass sie klug und...",verb,wir,indikativ,präteritum,verraten,Substantiv,verb,indikativ,wir,präteritum,substantiv,verraten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"betrayed, revealed",,
verbrennen,...kann ich meine Kalorien verbrennen.,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"to burn to ashes, burn down (emphasis on completion of action)",,
zum schluss,Zum Schluss hat es mich angelächelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"finally, at last",,
traten,In diesem Moment traten drei junge Mädchen in...,verb,wir,indikativ,präteritum,abtreten,antreten,auftreten,austreten,beitreten,eintreten,hintreten,niedertreten,treten,wegtreten,zurücktreten,Substantiv,verb,indikativ,treten,wir,präteritum,substantiv,eintreten,hintreten,beitreten,niedertreten,austreten,auftreten,antreten,zurücktreten,wegtreten,abtreten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(treten) begin; step, tread",,
